owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,repo_age_days,days_since_last_update,has_readme,has_docker,has_cicd,has_tests
btholt,vibe-coding-and-beyond-bootcamp,btholt/vibe-coding-and-beyond-bootcamp,https://github.com/btholt/vibe-coding-and-beyond-bootcamp,JavaScript,12,2,0,3685,1,1,53,0,1,0,1,0
zooniverse,front-end-monorepo,zooniverse/front-end-monorepo,https://github.com/zooniverse/front-end-monorepo,JavaScript,111,29,330,58129,1,1,3020,0,1,1,1,0
mwakidenis,gmart-supermarket,mwakidenis/gmart-supermarket,https://github.com/mwakidenis/gmart-supermarket,JavaScript,57,0,1,3618,1,0,142,0,1,1,1,0
playcanvas,engine,playcanvas/engine,https://github.com/playcanvas/engine,JavaScript,16304,1939,542,630592,0,0,4455,0,1,0,1,1
Waremderme,GateSentinel-C2-RemoteTool,Waremderme/GateSentinel-C2-RemoteTool,https://github.com/Waremderme/GateSentinel-C2-RemoteTool,JavaScript,20,7,0,1555,0,0,183,0,1,0,1,0
CKGrafico,opencode-onboard,CKGrafico/opencode-onboard,https://github.com/CKGrafico/opencode-onboard,JavaScript,28,4,1,2377,0,1,83,0,1,0,1,0
open-xml-templating,docxtemplater,open-xml-templating/docxtemplater,https://github.com/open-xml-templating/docxtemplater,JavaScript,3607,383,6,40274,0,0,4816,0,1,0,0,1
allenheltondev,gopher-holes-unlimited,allenheltondev/gopher-holes-unlimited,https://github.com/allenheltondev/gopher-holes-unlimited,JavaScript,61,17,0,970,1,0,2148,0,1,0,1,1
jiunbae,agent-skills,jiunbae/agent-skills,https://github.com/jiunbae/agent-skills,JavaScript,11,1,0,2305,1,0,242,0,1,0,1,0
atrislabs,atris,atrislabs/atris,https://github.com/atrislabs/atris,JavaScript,67,3,4,23110,1,0,275,0,1,0,1,1
