owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,repo_age_days,days_since_last_update,has_readme,has_docker,has_cicd,has_tests
emdash-cms,emdash,emdash-cms/emdash,https://github.com/emdash-cms/emdash,TypeScript,11372,1061,198,58354,0,0,113,0,1,1,1,0
microsoft,opensource.microsoft.com,microsoft/opensource.microsoft.com,https://github.com/microsoft/opensource.microsoft.com,TypeScript,1145,567,5,8355,0,0,2310,0,1,1,1,1
different-ai,openwork,different-ai/openwork,https://github.com/different-ai/openwork,TypeScript,17038,1771,352,275371,1,0,190,0,1,0,1,0
ChromeDevTools,devtools-frontend,ChromeDevTools/devtools-frontend,https://github.com/ChromeDevTools/devtools-frontend,TypeScript,3987,698,124,1524060,0,1,4164,0,1,0,1,1
ag-grid,ag-charts,ag-grid/ag-charts,https://github.com/ag-grid/ag-charts,TypeScript,474,43,36,2798188,0,1,1119,0,1,0,1,1
stormsia,proxy-list,stormsia/proxy-list,https://github.com/stormsia/proxy-list,TypeScript,32,4,0,369776,1,1,236,0,1,0,1,0
malloydata,malloyyo,malloydata/malloyyo,https://github.com/malloydata/malloyyo,TypeScript,22,7,5,2633,1,0,63,0,1,1,1,1
workos,cli,workos/cli,https://github.com/workos/cli,TypeScript,57,10,15,9715,0,0,190,0,1,0,1,1
desplega-ai,agent-swarm,desplega-ai/agent-swarm,https://github.com/desplega-ai/agent-swarm,TypeScript,637,75,2,164472,1,0,215,0,1,1,1,0
cropflre,nowen-note,cropflre/nowen-note,https://github.com/cropflre/nowen-note,TypeScript,368,62,51,26395,1,0,161,0,1,1,1,1
hoaxnerd,burnless,hoaxnerd/burnless,https://github.com/hoaxnerd/burnless,TypeScript,16,0,1,6967,1,0,39,0,1,1,1,0
iterate,iterate,iterate/iterate,https://github.com/iterate/iterate,TypeScript,198,18,9,82880,0,0,311,0,1,0,1,0
mamba-org,setup-micromamba,mamba-org/setup-micromamba,https://github.com/mamba-org/setup-micromamba,TypeScript,124,22,18,9878,1,0,1270,0,1,0,1,1
UmbraMalik,poe2-act-companion-overlay,UmbraMalik/poe2-act-companion-overlay,https://github.com/UmbraMalik/poe2-act-companion-overlay,TypeScript,11,0,0,28124,1,1,69,0,1,0,1,1
QuilibriumNetwork,quorum-mobile,QuilibriumNetwork/quorum-mobile,https://github.com/QuilibriumNetwork/quorum-mobile,TypeScript,43,13,18,97554,1,0,203,0,1,0,0,1
kirill-markin,expense-budget-tracker,kirill-markin/expense-budget-tracker,https://github.com/kirill-markin/expense-budget-tracker,TypeScript,14,3,0,4525,1,0,152,0,1,0,1,0
horang-labs,tessera,horang-labs/tessera,https://github.com/horang-labs/tessera,TypeScript,277,28,14,20863,0,0,85,0,1,1,1,1
nexu-io,open-design,nexu-io/open-design,https://github.com/nexu-io/open-design,TypeScript,80930,9351,648,1718009,1,0,86,0,1,0,1,0
RedHatProductSecurity,osim,RedHatProductSecurity/osim,https://github.com/RedHatProductSecurity/osim,TypeScript,14,10,7,10129,0,0,1245,0,1,1,1,1
SatyamPandey-07,WorkSphere,SatyamPandey-07/WorkSphere,https://github.com/SatyamPandey-07/WorkSphere,TypeScript,15,61,163,12766,1,0,214,0,1,0,1,1
DavidHDev,canvas-ui,DavidHDev/canvas-ui,https://github.com/DavidHDev/canvas-ui,TypeScript,413,10,0,12899,0,0,7,0,1,0,1,0
nisshchayarathi,gitverse-nextjs,nisshchayarathi/gitverse-nextjs,https://github.com/nisshchayarathi/gitverse-nextjs,TypeScript,87,249,776,5201,1,0,205,0,1,1,1,1
input-output-hk,lace,input-output-hk/lace,https://github.com/input-output-hk/lace,TypeScript,50,26,26,123793,0,0,1154,0,1,0,1,0
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TypeScript,452527,45635,234,578573,0,0,4228,0,1,0,1,0
cybersemics,em,cybersemics/em,https://github.com/cybersemics/em,TypeScript,354,141,701,69083,1,0,2907,0,1,0,1,1
samvera,node-iiif,samvera/node-iiif,https://github.com/samvera/node-iiif,TypeScript,33,8,3,28281,1,0,2784,0,1,1,1,1
harness,developer-hub,harness/developer-hub,https://github.com/harness/developer-hub,TypeScript,82,219,137,3855509,1,0,1428,0,1,1,1,0
4evy,nixcord,4evy/nixcord,https://github.com/4evy/nixcord,TypeScript,328,38,1,2980,0,1,761,0,1,0,1,0
dodopayments,dualmark,dodopayments/dualmark,https://github.com/dodopayments/dualmark,TypeScript,97,27,20,4916,1,0,79,0,1,0,1,1
binaricat,Netcatty,binaricat/Netcatty,https://github.com/binaricat/Netcatty,TypeScript,3924,356,77,141534,0,0,228,0,1,0,1,0
thedaviddias,llms-txt-hub,thedaviddias/llms-txt-hub,https://github.com/thedaviddias/llms-txt-hub,TypeScript,878,564,124,48059,0,0,517,0,1,0,1,0
Budibase,budibase,Budibase/budibase,https://github.com/Budibase/budibase,TypeScript,28142,2183,265,774009,1,1,2603,0,1,0,1,0
evepupil,NextDevTpl,evepupil/NextDevTpl,https://github.com/evepupil/NextDevTpl,TypeScript,62,8,0,1473,1,0,181,0,1,1,0,1
n8n-io,n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,197630,59562,1379,536090,0,1,2588,0,1,0,1,0
RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,TypeScript,45852,13740,3896,2072902,1,1,4083,0,1,0,1,0
MetaMask,metamask-mobile,MetaMask/metamask-mobile,https://github.com/MetaMask/metamask-mobile,TypeScript,3003,1628,1870,2073380,0,1,2927,0,1,0,1,1
anza-xyz,kit-plugins,anza-xyz/kit-plugins,https://github.com/anza-xyz/kit-plugins,TypeScript,18,8,8,2748,1,0,218,0,1,0,1,0
tdavidson,reporting,tdavidson/reporting,https://github.com/tdavidson/reporting,TypeScript,41,14,13,14855,0,0,145,0,1,0,1,1
Techiebutler,freeframe,Techiebutler/freeframe,https://github.com/Techiebutler/freeframe,TypeScript,133,36,18,6918,0,0,126,0,1,0,1,1
heygen-com,hyperframes,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,TypeScript,37095,3498,252,362561,1,0,135,0,1,0,1,0
twentyhq,twenty,twentyhq/twenty,https://github.com/twentyhq/twenty,TypeScript,53518,8145,109,1454250,0,0,1330,0,1,0,1,0
aipoch,open-science,aipoch/open-science,https://github.com/aipoch/open-science,TypeScript,448,79,19,7872,1,0,20,0,1,0,1,1
seerr-team,seerr,seerr-team/seerr,https://github.com/seerr-team/seerr,TypeScript,11960,930,348,58062,0,1,1597,0,1,1,1,0
Norbiros,nuxt-open-fetch,Norbiros/nuxt-open-fetch,https://github.com/Norbiros/nuxt-open-fetch,TypeScript,249,25,11,5285,1,0,1038,0,1,0,1,0
commet-labs,commet,commet-labs/commet,https://github.com/commet-labs/commet,TypeScript,34,0,0,3864,1,0,305,0,1,0,1,0
pluralsh,console,pluralsh/console,https://github.com/pluralsh/console,TypeScript,26,11,26,360965,1,1,2138,0,1,1,1,1
sanity-io,plugins,sanity-io/plugins,https://github.com/sanity-io/plugins,TypeScript,17,11,289,133115,0,0,245,0,1,0,1,1
RooCodeInc,Roomote,RooCodeInc/Roomote,https://github.com/RooCodeInc/Roomote,TypeScript,68,11,29,15441,0,0,16,0,1,1,1,0
momentum-design,momentum-design,momentum-design/momentum-design,https://github.com/momentum-design/momentum-design,TypeScript,39,62,10,3251823,1,1,1374,0,1,0,1,0
electron-userland,electron-builder,electron-userland/electron-builder,https://github.com/electron-userland/electron-builder,TypeScript,14624,1861,61,183596,0,1,4081,0,1,0,1,1
pioug,atlassian-frontend-mirror,pioug/atlassian-frontend-mirror,https://github.com/pioug/atlassian-frontend-mirror,TypeScript,30,14,0,589874,1,0,2024,0,1,0,1,0
getagentseal,codeburn,getagentseal/codeburn,https://github.com/getagentseal/codeburn,TypeScript,8872,691,25,18705,1,0,100,0,1,0,1,1
Dayotter,dayotter,Dayotter/dayotter,https://github.com/Dayotter/dayotter,TypeScript,22,4,48,14055,0,0,13,0,1,1,0,0
alp82,aistack,alp82/aistack,https://github.com/alp82/aistack,TypeScript,33,4,5,14831,1,0,199,0,1,1,1,1
retrozinndev,colorshell,retrozinndev/colorshell,https://github.com/retrozinndev/colorshell,TypeScript,269,14,12,448160,1,0,752,0,1,0,0,0
getsentry,sentry-react-native,getsentry/sentry-react-native,https://github.com/getsentry/sentry-react-native,TypeScript,1810,361,136,95640,0,0,3522,0,1,0,1,0
nl-design-system,rijkshuisstijl-community,nl-design-system/rijkshuisstijl-community,https://github.com/nl-design-system/rijkshuisstijl-community,TypeScript,27,9,322,109424,1,1,1234,0,1,0,1,0
dTrippers,mollulog,dTrippers/mollulog,https://github.com/dTrippers/mollulog,TypeScript,13,3,1,5666,0,0,1037,0,1,0,0,1
wibus-wee,cradle-app,wibus-wee/cradle-app,https://github.com/wibus-wee/cradle-app,TypeScript,45,7,6,28870,0,1,55,0,1,0,1,1
Cloudgeni-ai,opengeni,Cloudgeni-ai/opengeni,https://github.com/Cloudgeni-ai/opengeni,TypeScript,34,4,68,27047,1,0,98,0,1,1,1,1
firatcand,forge,firatcand/forge,https://github.com/firatcand/forge,TypeScript,13,1,12,7785,1,0,77,0,1,0,1,1
ava-labs,core-mobile,ava-labs/core-mobile,https://github.com/ava-labs/core-mobile,TypeScript,24,13,14,129936,0,0,1891,0,1,0,1,0
Subway-Builder-Modded,registry,Subway-Builder-Modded/registry,https://github.com/Subway-Builder-Modded/registry,TypeScript,14,2,21,783222,0,0,148,0,1,0,1,0
processone,fluux-messenger,processone/fluux-messenger,https://github.com/processone/fluux-messenger,TypeScript,379,21,91,184003,0,1,178,0,1,0,1,0
zowe,zowe-explorer-vscode,zowe/zowe-explorer-vscode,https://github.com/zowe/zowe-explorer-vscode,TypeScript,189,121,296,196937,1,0,2859,0,1,0,1,1
Szotasz,marveen,Szotasz/marveen,https://github.com/Szotasz/marveen,TypeScript,81,77,29,24225,0,0,106,0,1,0,0,1
reloop-labs,reloop,reloop-labs/reloop,https://github.com/reloop-labs/reloop,TypeScript,13,1,0,67805,0,0,364,0,1,0,1,0
seamapi,seam-cli,seamapi/seam-cli,https://github.com/seamapi/seam-cli,TypeScript,87,2,9,1029,1,0,955,0,1,0,1,0
langgenius,dify,langgenius/dify,https://github.com/langgenius/dify,TypeScript,149956,23627,974,447637,0,0,1198,0,1,0,1,0
MacRimi,ProxMenux,MacRimi/ProxMenux,https://github.com/MacRimi/ProxMenux,TypeScript,2816,149,32,1416996,0,1,579,0,1,0,1,0
bufbuild,cel-es,bufbuild/cel-es,https://github.com/bufbuild/cel-es,TypeScript,32,5,9,4096,0,0,1125,0,1,0,1,0
cloudflare,workers-sdk,cloudflare/workers-sdk,https://github.com/cloudflare/workers-sdk,TypeScript,4359,1366,427,140037,0,0,1716,0,1,0,1,0
kubestellar,docs,kubestellar/docs,https://github.com/kubestellar/docs,TypeScript,26,93,2,215228,1,1,379,0,1,1,1,1
abaplint,abaplint,abaplint/abaplint,https://github.com/abaplint/abaplint,TypeScript,294,94,433,96626,0,0,3867,0,1,0,1,0
pyth-network,pyth-crosschain,pyth-network/pyth-crosschain,https://github.com/pyth-network/pyth-crosschain,TypeScript,243,343,155,495176,0,0,1718,0,1,0,1,0
Viren070,AIOStreams,Viren070/AIOStreams,https://github.com/Viren070/AIOStreams,TypeScript,2374,792,106,13106,1,1,577,0,1,1,1,0
wiredoor,wiredoor,wiredoor/wiredoor,https://github.com/wiredoor/wiredoor,TypeScript,1618,76,6,2588,1,0,480,0,1,0,1,1
robertpiosik,CodeWebChat,robertpiosik/CodeWebChat,https://github.com/robertpiosik/CodeWebChat,TypeScript,1384,125,2,58105,0,1,609,0,1,0,1,1
Legal-and-General,canopy,Legal-and-General/canopy,https://github.com/Legal-and-General/canopy,TypeScript,23,46,40,253166,1,1,2145,0,1,0,1,1
ominiverdi,opencode-chat-bridge,ominiverdi/opencode-chat-bridge,https://github.com/ominiverdi/opencode-chat-bridge,TypeScript,89,14,3,950,1,0,187,0,1,1,1,1
Nutlope,togetherlink,Nutlope/togetherlink,https://github.com/Nutlope/togetherlink,TypeScript,40,5,0,3727,0,0,30,0,1,0,1,0
electric-sql,electric,electric-sql/electric,https://github.com/electric-sql/electric,TypeScript,10280,350,256,281118,0,0,1513,0,1,0,1,0
sanity-io,pkg-utils,sanity-io/pkg-utils,https://github.com/sanity-io/pkg-utils,TypeScript,28,6,25,16719,0,0,1427,0,1,0,1,1
PostHog,code,PostHog/code,https://github.com/PostHog/code,TypeScript,169,61,257,212431,0,0,300,0,1,0,1,0
ag-grid,ag-grid,ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,TypeScript,15490,2083,142,3335044,1,1,4229,0,1,0,1,1
terraforming-mars,terraforming-mars,terraforming-mars/terraforming-mars,https://github.com/terraforming-mars/terraforming-mars,TypeScript,932,442,83,85015,1,0,3062,0,1,1,1,1
Ryderwe,Sollin-Music-Desktop,Ryderwe/Sollin-Music-Desktop,https://github.com/Ryderwe/Sollin-Music-Desktop,TypeScript,217,22,6,16041,1,0,45,0,1,0,1,0
JustinBeckwith,retry-axios,JustinBeckwith/retry-axios,https://github.com/JustinBeckwith/retry-axios,TypeScript,508,65,0,1393,0,0,3096,0,1,0,1,1
org2AI,ORG2,org2AI/ORG2,https://github.com/org2AI/ORG2,TypeScript,2172,119,55,87862,1,0,52,0,1,0,1,1
leonitousconforti,the-moby-effect,leonitousconforti/the-moby-effect,https://github.com/leonitousconforti/the-moby-effect,TypeScript,27,6,5,30741,0,1,969,0,1,0,1,1
OrigamiDream,homebridge-daelim-smarthome,OrigamiDream/homebridge-daelim-smarthome,https://github.com/OrigamiDream/homebridge-daelim-smarthome,TypeScript,22,11,2,1440,1,0,2000,0,1,1,1,0
Evenss,metro-typing,Evenss/metro-typing,https://github.com/Evenss/metro-typing,TypeScript,13,1,0,3685,1,1,7,0,1,0,1,1
Lelu-ai,lelu,Lelu-ai/lelu,https://github.com/Lelu-ai/lelu,TypeScript,46,8,16,42319,1,0,139,0,1,1,1,1
jiaoyingxing,easy-sync,jiaoyingxing/easy-sync,https://github.com/jiaoyingxing/easy-sync,TypeScript,16,0,2,667,1,0,8,0,1,0,0,1
Kha-kis,arr-dashboard,Kha-kis/arr-dashboard,https://github.com/Kha-kis/arr-dashboard,TypeScript,158,10,5,115241,1,0,309,0,1,1,1,0
DefiLlama,defillama-sdk,DefiLlama/defillama-sdk,https://github.com/DefiLlama/defillama-sdk,TypeScript,74,167,6,1954,1,0,1953,0,1,0,0,1
googleapis,google-cloud-node,googleapis/google-cloud-node,https://github.com/googleapis/google-cloud-node,TypeScript,3193,696,639,1780203,0,1,4461,0,1,0,1,0
MetaMask,metamask-storybook,MetaMask/metamask-storybook,https://github.com/MetaMask/metamask-storybook,TypeScript,37,36,0,42750,0,1,2368,0,0,0,0,0
CodyTseng,jumble,CodyTseng/jumble,https://github.com/CodyTseng/jumble,TypeScript,206,89,260,21807,1,0,636,0,1,1,1,1
nextlyhq,nextly,nextlyhq/nextly,https://github.com/nextlyhq/nextly,TypeScript,42,4,9,11921,0,0,75,0,1,1,1,0
shedaniel,tomomai,shedaniel/tomomai,https://github.com/shedaniel/tomomai,TypeScript,16,2,11,322754,1,0,367,0,1,0,1,0
factorialco,f0,factorialco/f0,https://github.com/factorialco/f0,TypeScript,26,5,128,579774,0,1,854,0,1,0,1,0
teikei,teikei,teikei/teikei,https://github.com/teikei/teikei,TypeScript,67,13,4,50372,1,0,4452,0,1,0,1,0
1146345502,aural-oss,1146345502/aural-oss,https://github.com/1146345502/aural-oss,TypeScript,176,58,6,6638,0,0,129,0,1,0,1,1
lxw15337674,galaxy-spider,lxw15337674/galaxy-spider,https://github.com/lxw15337674/galaxy-spider,TypeScript,17,0,0,727,1,0,560,0,1,0,1,1
PetePeter,gamepad-cli-hub,PetePeter/gamepad-cli-hub,https://github.com/PetePeter/gamepad-cli-hub,TypeScript,24,3,0,16603,0,0,125,0,1,0,0,1
onmax,nuxt-skills,onmax/nuxt-skills,https://github.com/onmax/nuxt-skills,TypeScript,690,34,3,1470,1,0,224,0,1,0,1,0
oasm-platform,open-asm,oasm-platform/open-asm,https://github.com/oasm-platform/open-asm,TypeScript,143,26,24,468430,1,0,402,0,1,1,1,0
Embassy-of-the-Free-Mind,sourcelibrary-v2,Embassy-of-the-Free-Mind/sourcelibrary-v2,https://github.com/Embassy-of-the-Free-Mind/sourcelibrary-v2,TypeScript,13,2,180,200698,1,0,217,0,1,0,1,1
microsoft,fluentui,microsoft/fluentui,https://github.com/microsoft/fluentui,TypeScript,20165,2901,765,844762,1,1,3699,0,1,0,1,1
CaoMeiYouRen,momei,CaoMeiYouRen/momei,https://github.com/CaoMeiYouRen/momei,TypeScript,11,0,2,22798,1,1,224,0,1,1,1,1
headlamp-k8s,plugins,headlamp-k8s/plugins,https://github.com/headlamp-k8s/plugins,TypeScript,187,152,219,17739,0,0,1190,0,1,1,1,0
LunaryBot,Lunary,LunaryBot/Lunary,https://github.com/LunaryBot/Lunary,TypeScript,17,4,0,2101,1,0,1819,0,0,1,0,0
nestjs,swagger,nestjs/swagger,https://github.com/nestjs/swagger,TypeScript,1885,550,18,16343,1,0,3217,0,1,0,1,1
koobiq,angular-components,koobiq/angular-components,https://github.com/koobiq/angular-components,TypeScript,41,4,9,92988,0,0,816,0,1,0,1,1
coders51,rabbitmq-stream-js-client,coders51/rabbitmq-stream-js-client,https://github.com/coders51/rabbitmq-stream-js-client,TypeScript,52,12,0,605,1,0,1511,0,1,1,1,1
codewiththiha,OpenSlides,codewiththiha/OpenSlides,https://github.com/codewiththiha/OpenSlides,TypeScript,73,6,2,2721,0,0,6,0,1,0,1,1
jolliai,jolliai,jolliai/jolliai,https://github.com/jolliai/jolliai,TypeScript,118,9,5,14486,0,0,100,0,1,0,1,0
logtown,logtown,logtown/logtown,https://github.com/logtown/logtown,TypeScript,33,2,0,1390,0,0,3547,0,1,0,1,0
slackapi,bolt-js,slackapi/bolt-js,https://github.com/slackapi/bolt-js,TypeScript,2931,439,74,14731,1,1,3656,0,1,0,1,1
common-voice,common-voice,common-voice/common-voice,https://github.com/common-voice/common-voice,TypeScript,3474,871,222,1978732,0,0,3365,0,1,1,1,0
launchdarkly,js-core,launchdarkly/js-core,https://github.com/launchdarkly/js-core,TypeScript,28,37,19,98155,0,1,1539,0,1,0,1,1
daintreehq,daintree,daintreehq/daintree,https://github.com/daintreehq/daintree,TypeScript,48,6,27,129466,1,0,237,0,1,0,1,1
abhigyanpatwari,GitNexus,abhigyanpatwari/GitNexus,https://github.com/abhigyanpatwari/GitNexus,TypeScript,44560,4943,262,49741,1,0,354,0,1,1,1,0
openchamber,openchamber,openchamber/openchamber,https://github.com/openchamber/openchamber,TypeScript,6799,742,858,73079,0,0,315,0,1,1,1,0
agentic-research,cloister,agentic-research/cloister,https://github.com/agentic-research/cloister,TypeScript,13,1,0,5662,0,0,86,0,1,0,1,1
vinpatel,aeorank,vinpatel/aeorank,https://github.com/vinpatel/aeorank,TypeScript,11,2,7,3890,1,1,130,0,1,0,1,0
freelensapp,freelens,freelensapp/freelens,https://github.com/freelensapp/freelens,TypeScript,5315,302,191,34714,1,0,764,0,1,0,1,1
Peiiii,nextclaw,Peiiii/nextclaw,https://github.com/Peiiii/nextclaw,TypeScript,242,36,4,2520341,1,1,162,0,1,0,1,1
studiometa,ui,studiometa/ui,https://github.com/studiometa/ui,TypeScript,12,1,20,10930,1,0,1760,0,1,0,1,1
mohamadfg-dev,telegram-v2ray-configs-collector,mohamadfg-dev/telegram-v2ray-configs-collector,https://github.com/mohamadfg-dev/telegram-v2ray-configs-collector,TypeScript,88,8,0,53871,0,0,375,0,1,0,1,0
dust-tt,dust,dust-tt/dust,https://github.com/dust-tt/dust,TypeScript,1426,313,269,1039915,1,0,1434,0,1,1,1,0
dfinity,nns-dapp,dfinity/nns-dapp,https://github.com/dfinity/nns-dapp,TypeScript,140,55,17,199044,1,0,1959,0,1,1,1,0
ovh,ovhcloud-docs,ovh/ovhcloud-docs,https://github.com/ovh/ovhcloud-docs,TypeScript,11,6,18,344585,0,0,65,0,1,0,0,0
lumirlumir,npm-eslint-markdown,lumirlumir/npm-eslint-markdown,https://github.com/lumirlumir/npm-eslint-markdown,TypeScript,63,4,9,2539,0,0,498,0,1,0,1,1
tigrisdata,storage,tigrisdata/storage,https://github.com/tigrisdata/storage,TypeScript,20,1,1,3136,1,0,359,0,1,0,1,0
grafana,grafana-llm-app,grafana/grafana-llm-app,https://github.com/grafana/grafana-llm-app,TypeScript,133,17,51,10654,1,0,1143,0,1,0,1,0
arnobt78,Hotel-Booking-Management-System--React-MERN-FullStack,arnobt78/Hotel-Booking-Management-System--React-MERN-FullStack,https://github.com/arnobt78/Hotel-Booking-Management-System--React-MERN-FullStack,TypeScript,32,32,0,22189,1,0,344,0,1,0,0,0
supabase,supabase,supabase/supabase,https://github.com/supabase/supabase,TypeScript,106838,13226,1131,2415520,0,1,2476,0,1,0,1,0
tscircuit,schematic-trace-solver,tscircuit/schematic-trace-solver,https://github.com/tscircuit/schematic-trace-solver,TypeScript,12,308,349,2018,1,0,333,0,1,0,1,1
max-troost-io,use-websockets,max-troost-io/use-websockets,https://github.com/max-troost-io/use-websockets,TypeScript,11,1,0,610,1,0,132,0,1,0,1,0
doitintl,doit-mcp-server,doitintl/doit-mcp-server,https://github.com/doitintl/doit-mcp-server,TypeScript,13,3,32,4448,1,0,472,2,1,1,1,1
nuxt,module-builder,nuxt/module-builder,https://github.com/nuxt/module-builder,TypeScript,276,36,30,4998,0,0,1693,0,1,0,1,1
elumine-dev,kotlin-jump,elumine-dev/kotlin-jump,https://github.com/elumine-dev/kotlin-jump,TypeScript,11,0,1,775204,0,0,117,0,1,0,1,1
vercel-labs,react-view-transitions-demo,vercel-labs/react-view-transitions-demo,https://github.com/vercel-labs/react-view-transitions-demo,TypeScript,28,6,0,1459,1,0,114,0,1,0,0,0
massCodeIO,massCode,massCodeIO/massCode,https://github.com/massCodeIO/massCode,TypeScript,6923,260,5,11322,1,0,1577,0,1,0,1,1
fuma-nama,fumapress,fuma-nama/fumapress,https://github.com/fuma-nama/fumapress,TypeScript,89,4,2,7917,0,0,73,0,1,0,1,1
siemens,ix-starter,siemens/ix-starter,https://github.com/siemens/ix-starter,TypeScript,22,16,13,9243,0,1,1014,0,1,0,1,1
brychanrobot,jj-view,brychanrobot/jj-view,https://github.com/brychanrobot/jj-view,TypeScript,41,13,30,11226,1,0,177,0,1,0,1,1
oaknational,Oak-Web-Application,oaknational/Oak-Web-Application,https://github.com/oaknational/Oak-Web-Application,TypeScript,27,5,350,177050,0,0,1610,0,1,0,1,1
MapleTechLabs,maple,MapleTechLabs/maple,https://github.com/MapleTechLabs/maple,TypeScript,1576,101,13,48645,1,0,157,0,1,1,1,0
PostHog,posthog-js,PostHog/posthog-js,https://github.com/PostHog/posthog-js,TypeScript,572,307,179,81233,0,0,2357,0,1,0,1,0
